SPU,源SKU,室内外,一级分类,年,月,美西,美东,美南GA,美南TX,月份序号,在目标期,运算SKU,季节因子_V,衰减权重_N,加权_美西_P,加权合计_T
NBPC014,NBPC0142BEOS,户外,庭院、草坪与花园,2024,1,3.0,0.0,11.0,1.0,24289,1,NBPC0142BEOS,3.0,0.00287793728502567,0.0259014355652311,0.129507177826155
NBGF016,NBGF0164NOS-1,户外,庭院、草坪与花园,2024,1,12.0,1.0,25.0,6.0,24289,1,NBGF0164NOS,3.0,0.00287793728502567,0.103605742260924,0.379887721623389
GSG211135,GSG211135-5-B,户外,庭院、草坪与花园,2024,1,4.0,6.0,7.0,8.0,24289,1,GSG211135-5,3.0,0.00287793728502567,0.0345352474203081,0.215845296376926
NBGF016,NBGF0164COS-1,户外,庭院、草坪与花园,2024,1,6.0,1.0,12.0,1.0,24289,1,NBGF0164COS,3.0,0.00287793728502567,0.0518028711304621,0.17267623710154
NBPC014,NBPC0142DGOS,户外,庭院、草坪与花园,2024,1,1.0,0.0,5.0,2.0,24289,1,NBPC0142DGOS,3.0,0.00287793728502567,0.00863381185507702,0.0690704948406162
NBCS016,NBCS016BRFS-D,户外,庭院、草坪与花园,2024,1,30.0,17.0,48.0,16.0,24289,1,NBCS016BRFS,3.0,0.00287793728502567,0.259014355652311,0.958353115913549
NBCS002,NBCS002BUFS,户外,庭院、草坪与花园,2024,1,13.0,8.0,56.0,21.0,24289,1,NBCS002BUFS,3.0,0.00287793728502567,0.112239554116001,0.846113561797548
NBCS017,NBCS017GRFS-B,户外,庭院、草坪与花园,2024,1,11.0,5.0,10.0,2.0,24289,1,NBCS017GRFS,3.0,0.00287793728502567,0.0949719304058472,0.241746731942157
NBCS016,NBCS016BUFS-A,户外,庭院、草坪与花园,2024,1,19.0,21.0,50.0,5.0,24289,1,NBCS016BUFS,3.0,0.00287793728502567,0.164042425246463,0.820212126232317
NBCS018,NBCS018BUFS-B,户外,庭院、草坪与花园,2024,1,10.0,4.0,21.0,7.0,24289,1,NBCS018BUFS,3.0,0.00287793728502567,0.0863381185507702,0.362620097913235
NBSS004,NBSS004GWH645-12,户外,庭院、草坪与花园,2024,1,38.0,21.0,41.0,6.0,24289,1,NBSS004GWH645,3.0,0.00287793728502567,0.328084850492927,0.915184056638164
NBCS017,NBCS017GRFS-C,户外,庭院、草坪与花园,2024,1,35.0,12.0,39.0,9.0,24289,1,NBCS017GRFS,3.0,0.00287793728502567,0.302183414927696,0.820212126232317
NBSS004,NBSS004GWH645-22,户外,庭院、草坪与花园,2024,1,37.0,20.0,42.0,6.0,24289,1,NBSS004GWH645,3.0,0.00287793728502567,0.31945103863785,0.906550244783087
NBCS017,NBCS017GRFS-E,户外,庭院、草坪与花园,2024,1,34.0,15.0,47.0,14.0,24289,1,NBCS017GRFS,3.0,0.00287793728502567,0.293549603072619,0.949719304058472
NBCS018,NBCS018GRFS-B,户外,庭院、草坪与花园,2024,1,18.0,3.0,19.0,14.0,24289,1,NBCS018GRFS,3.0,0.00287793728502567,0.155408613391386,0.466225840174159
NBGF016,NBGF0164BUOS-1,户外,庭院、草坪与花园,2024,1,4.0,1.0,11.0,2.0,24289,1,NBGF0164BUOS,3.0,0.00287793728502567,0.0345352474203081,0.155408613391386
NBCS017,NBCS017GRFS-A,户外,庭院、草坪与花园,2024,1,34.0,13.0,38.0,9.0,24289,1,NBCS017GRFS,3.0,0.00287793728502567,0.293549603072619,0.81157831437724
NBCS018,NBCS018BUFS-A,户外,庭院、草坪与花园,2024,1,15.0,6.0,27.0,9.0,24289,1,NBCS018BUFS,3.0,0.00287793728502567,0.129507177826155,0.49212727573939
NBCS018,NBCS018BUFS-C,户外,庭院、草坪与花园,2024,1,11.0,5.0,23.0,8.0,24289,1,NBCS018BUFS,3.0,0.00287793728502567,0.0949719304058472,0.40578915718862
NBCH013,NBCH013BLUOS,户外,庭院、草坪与花园,2024,1,10.0,4.0,37.0,14.0,24289,1,NBCH013BLUOS,3.0,0.00287793728502567,0.0863381185507702,0.561197770580006
NBCS018,NBCS018GRFS-A,户外,庭院、草坪与花园,2024,1,22.0,4.0,23.0,18.0,24289,1,NBCS018GRFS,3.0,0.00287793728502567,0.189943860811694,0.57846539429016
NBCS018,NBCS018GRFS-C,户外,庭院、草坪与花园,2024,1,20.0,3.0,21.0,17.0,24289,1,NBCS018GRFS,3.0,0.00287793728502567,0.17267623710154,0.526662523159698
NBCS017,NBCS017BUFS-A-2,户外,庭院、草坪与花园,2024,1,18.0,7.0,15.0,5.0,24289,1,NBCS017BUFS-2,3.0,0.00287793728502567,0.155408613391386,0.388521533478466
NBCH013,NBCH013WINOS,户外,庭院、草坪与花园,2024,1,9.0,8.0,31.0,4.0,24289,1,NBCH013WINOS,3.0,0.00287793728502567,0.0777043066956932,0.448958216464005
NBCS017,NBCS017BUFS-B-2,户外,庭院、草坪与花园,2024,1,11.0,5.0,11.0,2.0,24289,1,NBCS017BUFS-2,3.0,0.00287793728502567,0.0949719304058472,0.250380543797234
NBCS086,NBCS086NAV0S-A,户外,庭院、草坪与花园,2024,1,12.0,0.0,6.0,0.0,24289,1,NBCS086NAV0S,3.0,0.00287793728502567,0.103605742260924,0.155408613391386
NBPC001,NBPC002GRYOS,户外,庭院、草坪与花园,2024,1,1.0,9.0,32.0,9.0,24289,1,NBPC024GRYOS,3.0,0.00287793728502567,0.00863381185507702,0.440324404608928
NBCS002,NBCS002GRFS,户外,庭院、草坪与花园,2024,1,5.0,4.0,8.0,2.0,24289,1,NBCS002GRFS,3.0,0.00287793728502567,0.0431690592753851,0.164042425246463
NBRC003,NBRC004BLKOS,户外,庭院、草坪与花园,2024,1,2.0,6.0,14.0,1.0,24289,1,NBRC004BLKOS,3.0,0.00287793728502567,0.017267623710154,0.198577672666771
NBCS016,NBCS016BUFS-B,户外,庭院、草坪与花园,2024,1,5.0,10.0,10.0,1.0,24289,1,NBCS016BUFS,3.0,0.00287793728502567,0.0431690592753851,0.224479108232003
NBCS090,NBCS090BROOS-D,户外,庭院、草坪与花园,2024,1,1.0,0.0,0.0,0.0,24289,1,NBCS090BROOS,3.0,0.00287793728502567,0.00863381185507702,0.00863381185507702
NBPC001,NBPC002ORGOS,户外,庭院、草坪与花园,2024,1,10.0,3.0,19.0,1.0,24289,1,NBPC024ORGOS,3.0,0.00287793728502567,0.0863381185507702,0.284915791217542
NBSS004,NBSS004GWH53-12,户外,庭院、草坪与花园,2024,1,38.0,10.0,27.0,13.0,24289,1,NBSS004GWH53,3.0,0.00287793728502567,0.328084850492927,0.759775443246778
NBSS004,NBSS004GWH53-22,户外,庭院、草坪与花园,2024,1,38.0,10.0,27.0,13.0,24289,1,NBSS004GWH53,3.0,0.00287793728502567,0.328084850492927,0.759775443246778
NBCS017,NBCS017GRFS-D,户外,庭院、草坪与花园,2024,1,16.0,5.0,21.0,4.0,24289,1,NBCS017GRFS,3.0,0.00287793728502567,0.138140989681232,0.397155345333543
NBCS016,NBCS016BUFS-C,户外,庭院、草坪与花园,2024,1,10.0,13.0,23.0,5.0,24289,1,NBCS016BUFS,3.0,0.00287793728502567,0.0863381185507702,0.440324404608928
NBCH013,NBCH013BEGOS,户外,庭院、草坪与花园,2024,1,3.0,2.0,18.0,3.0,24289,1,NBCH013BEGOS,3.0,0.00287793728502567,0.0259014355652311,0.224479108232003
NBCS018,NBCS018RDFS-B,户外,庭院、草坪与花园,2024,1,2.0,1.0,4.0,2.0,24289,1,NBCS018RDFS,3.0,0.00287793728502567,0.017267623710154,0.0777043066956932
NBCS002,NBCS002KKFS,户外,庭院、草坪与花园,2024,1,11.0,4.0,25.0,3.0,24289,1,NBCS002KKFS,3.0,0.00287793728502567,0.0949719304058472,0.371253909768312
NBCS016,NBCS016GRFS-A,户外,庭院、草坪与花园,2024,1,21.0,4.0,32.0,16.0,24289,1,NBCS016GRFS,3.0,0.00287793728502567,0.181310048956617,0.630268265420623
NBCS086,NBCS086NAV0S-B,户外,庭院、草坪与花园,2024,1,7.0,0.0,4.0,0.0,24289,1,NBCS086NAV0S,3.0,0.00287793728502567,0.0604366829855391,0.0949719304058472
NBCS018,NBCS018RDFS-A,户外,庭院、草坪与花园,2024,1,2.0,1.0,5.0,3.0,24289,1,NBCS018RDFS,3.0,0.00287793728502567,0.017267623710154,0.0949719304058472
NBCS086,NBCS086GRY0S-A,户外,庭院、草坪与花园,2024,1,3.0,3.0,5.0,0.0,24289,1,NBCS086GRY0S,3.0,0.00287793728502567,0.0259014355652311,0.0949719304058472
NBGF016,NBGF0164AOS-1,户外,庭院、草坪与花园,2024,1,0.0,0.0,3.0,1.0,24289,1,NBGF0164AOS,3.0,0.00287793728502567,0,0.0345352474203081
NBCS018,NBCS018RDFS-C,户外,庭院、草坪与花园,2024,1,2.0,1.0,5.0,3.0,24289,1,NBCS018RDFS,3.0,0.00287793728502567,0.017267623710154,0.0949719304058472
NBCS017,NBCS017BUFS-D-2,户外,庭院、草坪与花园,2024,1,13.0,4.0,13.0,4.0,24289,1,NBCS017BUFS-2,3.0,0.00287793728502567,0.112239554116001,0.293549603072619
NBCS044,NBCS044GRYOS-12,户外,庭院、草坪与花园,2024,1,12.0,7.0,31.0,5.0,24289,1,NBCS044GRYOS,3.0,0.00287793728502567,0.103605742260924,0.474859652029236
NBCS044,NBCS044GRYOS-22,户外,庭院、草坪与花园,2024,1,12.0,7.0,31.0,5.0,24289,1,NBCS044GRYOS,3.0,0.00287793728502567,0.103605742260924,0.474859652029236
NBRC001,NBRC001GYFS,户外,庭院、草坪与花园,2024,1,8.0,5.0,9.0,4.0,24289,1,NBRC001GYFS,3.0,0.00287793728502567,0.0690704948406162,0.224479108232003
NBGF021,NBGF022BRO44-22,户外,庭院、草坪与花园,2024,1,52.0,14.0,81.0,22.0,24289,1,NBGF022BRO44,3.0,0.00287793728502567,0.448958216464005,1.45911420350802
NBGF016,NBGF0164LGOS-1,户外,庭院、草坪与花园,2024,1,5.0,1.0,10.0,1.0,24289,1,NBGF0164LGOS,3.0,0.00287793728502567,0.0431690592753851,0.146774801536309
NBCS016,NBCS016GRFS-C,户外,庭院、草坪与花园,2024,1,5.0,1.0,13.0,4.0,24289,1,NBCS016GRFS,3.0,0.00287793728502567,0.0431690592753851,0.198577672666771
NBCH012,NBCH012BEGOS,户外,庭院、草坪与花园,2024,1,3.0,2.0,9.0,5.0,24289,1,NBCH026BEGOS,3.0,0.00287793728502567,0.0259014355652311,0.164042425246463
NBPC001,NBPC002BLKOS,户外,庭院、草坪与花园,2024,1,1.0,1.0,10.0,0.0,24289,1,NBPC024BLKOS,3.0,0.00287793728502567,0.00863381185507702,0.103605742260924
NBPC004,NBPC0042BEOS,户外,庭院、草坪与花园,2024,1,2.0,0.0,4.0,0.0,24289,1,NBPC0042BEOS,3.0,0.00287793728502567,0.017267623710154,0.0518028711304621
NBCS044,NBCS044NAVOS-12,户外,庭院、草坪与花园,2024,1,4.0,0.0,8.0,0.0,24289,1,NBCS044NAVOS,3.0,0.00287793728502567,0.0345352474203081,0.103605742260924
NBRC003,NBRC004BLKOS-1,户外,庭院、草坪与花园,2024,1,28.0,42.0,61.0,28.0,24289,1,NBRC004BLKOS,3.0,0.00287793728502567,0.241746731942157,1.37277608495725
NBCS018,NBCS018REDFS-B,户外,庭院、草坪与花园,2024,1,1.0,0.0,1.0,0.0,24289,1,NBCS018REDFS,3.0,0.00287793728502567,0.00863381185507702,0.017267623710154
NBRC003,NBRC004GRYOS-1,户外,庭院、草坪与花园,2024,1,19.0,20.0,33.0,7.0,24289,1,NBRC004GRYOS,3.0,0.00287793728502567,0.164042425246463,0.682071136551085
NBPC004,NBPC0042GROS,户外,庭院、草坪与花园,2024,1,0.0,1.0,2.0,2.0,24289,1,NBPC0042GROS,3.0,0.00287793728502567,0,0.0431690592753851
NBCS018,NBCS018KKFS-B,户外,庭院、草坪与花园,2024,1,2.0,3.0,4.0,1.0,24289,1,NBCS018KKFS,3.0,0.00287793728502567,0.017267623710154,0.0863381185507702
NBCS052,NBCS052NAVOS,户外,庭院、草坪与花园,2024,1,0.0,2.0,16.0,2.0,24289,1,NBCS095NAVOS,3.0,0.00287793728502567,0,0.17267623710154
NBRC001,NBRC002GYXL,户外,庭院、草坪与花园,2024,1,10.0,13.0,22.0,15.0,24289,1,NBRC002GYXL,3.0,0.00287793728502567,0.0863381185507702,0.518028711304621
NBCS090,NBCS090BEGOS-A,户外,庭院、草坪与花园,2024,1,1.0,0.0,0.0,0.0,24289,1,NBCS090BEGOS,3.0,0.00287793728502567,0.00863381185507702,0.00863381185507702
NBRC003,NBRC003BLKOS-1,户外,庭院、草坪与花园,2024,1,0.0,1.0,0.0,0.0,24289,1,NBRC003BLKOS,3.0,0.00287793728502567,0,0.00863381185507702
NBCS052,NBCS052GRYOS,户外,庭院、草坪与花园,2024,1,6.0,1.0,13.0,3.0,24289,1,NBCS095GRYOS,3.0,0.00287793728502567,0.0518028711304621,0.198577672666771
NBCS090,NBCS090BEGOS-C,户外,庭院、草坪与花园,2024,1,1.0,0.0,0.0,0.0,24289,1,NBCS090BEGOS,3.0,0.00287793728502567,0.00863381185507702,0.00863381185507702
NBGF016,NBGF0166NOS-1,户外,庭院、草坪与花园,2024,1,6.0,2.0,7.0,3.0,24289,1,NBGF0166NOS,3.0,0.00287793728502567,0.0518028711304621,0.155408613391386
NBCS018,NBCS018REDFS-C,户外,庭院、草坪与花园,2024,1,1.0,0.0,1.0,0.0,24289,1,NBCS018REDFS,3.0,0.00287793728502567,0.00863381185507702,0.017267623710154
